E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.029	-0.782	0.029	-0.811	0.029	-0.696	0.029	-0.678	0.029	-0.770	0.029	-0.736	0.029	-0.666	0.029	-0.606	0.029	-0.567
0.029	-0.696	0.029	-0.776	0.029	-0.837	0.029	-0.685	0.029	-0.644	0.029	-0.646	0.029	-0.678	0.029	-0.676	0.029	-0.567
0.028	-0.823	0.028	-0.728	0.028	-0.782	0.028	-0.676	0.028	-0.636	0.028	-0.701	0.028	-0.638	0.028	-0.630	0.028	-0.650
0.028	-0.768	0.028	-0.779	0.028	-0.702	0.028	-0.750	0.028	-0.659	0.028	-0.616	0.028	-0.650	0.028	-0.630	0.028	-0.623
0.027	-0.722	0.027	-0.733	0.027	-0.727	0.027	-0.725	0.027	-0.658	0.027	-0.652	0.027	-0.719	0.027	-0.623	0.027	-0.705
0.026	-0.718	0.026	-0.702	0.026	-0.805	0.026	-0.685	0.026	-0.620	0.026	-0.661	0.026	-0.712	0.026	-0.676	0.026	-0.613
0.026	-0.800	0.026	-0.689	0.026	-0.822	0.026	-0.758	0.026	-0.650	0.026	-0.638	0.026	-0.727	0.026	-0.682	0.026	-0.615
0.025	-0.715	0.025	-0.790	0.025	-0.751	0.025	-0.721	0.025	-0.598	0.025	-0.676	0.025	-0.669	0.025	-0.593	0.025	-0.609
0.025	-0.739	0.025	-0.781	0.025	-0.779	0.025	-0.719	0.025	-0.669	0.025	-0.713	0.025	-0.566	0.025	-0.583	0.025	-0.646
0.025	-0.807	0.025	-0.828	0.025	-0.765	0.025	-0.635	0.025	-0.738	0.025	-0.719	0.025	-0.662	0.025	-0.607	0.025	-0.624
0.024	-0.750	0.024	-0.816	0.024	-0.719	0.024	-0.715	0.024	-0.702	0.024	-0.733	0.024	-0.685	0.024	-0.620	0.024	-0.624
0.024	-0.764	0.024	-0.765	0.024	-0.676	0.024	-0.716	0.024	-0.710	0.024	-0.730	0.024	-0.776	0.024	-0.644	0.024	-0.695
0.023	-0.722	0.023	-0.725	0.023	-0.664	0.023	-0.770	0.023	-0.790	0.023	-0.687	0.023	-0.643	0.023	-0.672	0.023	-0.586
0.022	-0.790	0.022	-0.817	0.022	-0.837	0.022	-0.853	0.022	-0.807	0.022	-0.681	0.022	-0.796	0.022	-0.705	0.022	-0.629
0.022	-0.730	0.022	-0.807	0.022	-0.750	0.022	-0.664	0.022	-0.722	0.022	-0.593	0.022	-0.698	0.022	-0.550	0.022	-0.616
0.021	-0.762	0.021	-0.777	0.021	-0.782	0.021	-0.667	0.021	-0.725	0.021	-0.730	0.021	-0.742	0.021	-0.701	0.021	-0.639
0.021	-0.679	0.021	-0.672	0.021	-0.747	0.021	-0.718	0.021	-0.658	0.021	-0.635	0.021	-0.586	0.021	-0.692	0.021	-0.593
0.021	-0.733	0.021	-0.712	0.021	-0.744	0.021	-0.799	0.021	-0.664	0.021	-0.652	0.021	-0.635	0.021	-0.592	0.021	-0.589
