E /V	I /uA	E /V	I /uA	E /V	I /uA
0.122	0.653	0.122	0.644	0.122	0.609
0.123	0.667	0.123	0.637	0.123	0.658
0.123	0.667	0.123	0.632	0.123	0.652
0.124	0.652	0.124	0.637	0.124	0.620
0.125	0.574	0.125	0.604	0.125	0.646
0.125	0.611	0.125	0.587	0.125	0.621
0.126	0.563	0.126	0.635	0.126	0.578
0.126	0.643	0.126	0.635	0.126	0.660
0.127	0.627	0.127	0.644	0.127	0.640
0.127	0.618	0.127	0.647	0.127	0.603
0.128	0.604	0.128	0.557	0.128	0.629
0.128	0.571	0.128	0.604	0.128	0.637
0.129	0.601	0.129	0.598	0.129	0.598
0.129	0.560	0.129	0.609	0.129	0.615
0.130	0.589	0.130	0.652	0.130	0.647
0.130	0.600	0.130	0.606	0.130	0.606
0.131	0.586	0.131	0.595	0.131	0.546
0.131	0.580	0.131	0.598	0.131	0.594
0.132	0.627	0.132	0.586	0.132	0.591
0.132	0.595	0.132	0.591	0.132	0.577
0.133	0.586	0.133	0.634	0.133	0.563
0.133	0.607	0.133	0.650	0.133	0.591
0.134	0.583	0.134	0.603	0.134	0.597
0.134	0.620	0.134	0.604	0.134	0.626
0.135	0.655	0.135	0.535	0.135	0.540
0.135	0.560	0.135	0.555	0.135	0.611
0.136	0.571	0.136	0.623	0.136	0.568
0.136	0.526	0.136	0.657	0.136	0.560
0.137	0.534	0.137	0.615	0.137	0.580
0.137	0.558	0.137	0.540	0.137	0.618
0.138	0.558	0.138	0.584	0.138	0.523
0.138	0.640	0.138	0.611	0.138	0.626
0.139	0.594	0.139	0.591	0.139	0.589
0.139	0.583	0.139	0.617	0.139	0.615
0.140	0.541	0.140	0.621	0.140	0.526
0.140	0.545	0.140	0.563	0.140	0.523
0.141	0.543	0.141	0.535	0.141	0.601
0.141	0.572	0.141	0.534	0.141	0.583
0.141	0.522	0.141	0.561	0.141	0.572
0.142	0.572	0.142	0.580	0.142	0.518
0.142	0.643	0.142	0.555	0.142	0.526
0.143	0.606	0.143	0.506	0.143	0.563
0.143	0.518	0.143	0.551	0.143	0.551
0.144	0.580	0.144	0.566	0.144	0.499
0.144	0.577	0.144	0.546	0.144	0.502
0.145	0.505	0.145	0.551	0.145	0.543
0.145	0.511	0.145	0.486	0.145	0.577
0.146	0.472	0.146	0.540	0.146	0.563
0.146	0.505	0.146	0.534	0.146	0.597
0.147	0.512	0.147	0.557	0.147	0.500
0.147	0.525	0.147	0.512	0.147	0.564
0.148	0.495	0.148	0.571	0.148	0.514
0.148	0.497	0.148	0.560	0.148	0.437
0.149	0.537	0.149	0.575	0.149	0.514
0.149	0.515	0.149	0.540	0.149	0.512
0.150	0.523	0.150	0.541	0.150	0.554
0.150	0.505	0.150	0.508	0.150	0.564
